b_rCCI,b_QYBL,threshold
-2.90248,-5.54678,0.76
-3.28082,-4.89051,0.76
-3.02474,-4.56835,0.76
-2.96501,-5.12185,0.76
-2.40265,-5.21582,0.76
-4.15382,-5.29144,0.76
-3.34478,-5.14397,0.76
-3.95473,-5.25416,0.75
-3.78325,-5.4783,0.75
-3.6372,-4.75481,0.76
-2.82543,-4.44152,0.76
-3.74763,-5.19171,0.76
-4.22071,-5.32825,0.76
-3.86247,-5.38544,0.75
-3.32455,-5.34639,0.75
-2.86802,-4.90368,0.76
-2.39407,-4.81573,0.75
-3.14424,-5.1104,0.76
-4.14409,-5.38782,0.76
-2.83273,-6.20441,0.76
-3.14471,-4.88219,0.76
-3.53804,-4.83851,0.76
-3.45874,-4.42206,0.76
-4.11994,-3.98691,0.76
-3.47487,-4.71219,0.76
-3.68551,-5.80939,0.73
-3.62323,-6.21978,0.72
-3.01625,-4.90733,0.76
-3.85171,-6.08484,0.76
-3.64841,-4.86419,0.76
-2.93943,-4.35435,0.76
-3.81617,-5.62697,0.76
-4.62452,-4.72671,0.76
-3.1139,-5.12465,0.76
-3.51549,-4.35053,0.76
-2.81528,-6.16439,0.73
-4.01752,-6.0262,0.76
-2.82079,-5.63253,0.76
-2.31016,-5.19467,0.76
-3.21393,-4.62394,0.76
-3.58407,-5.51712,0.75
-2.9788,-5.89374,0.76
-3.63422,-6.131,0.75
-4.03325,-5.30113,0.76
-3.46175,-6.12234,0.76
-3.9476,-4.90822,0.76
-2.4646,-5.40804,0.76
-3.41194,-4.58432,0.76
-3.25126,-4.65908,0.76
-3.17111,-6.84048,0.73
-3.48082,-4.39162,0.76
-2.95339,-4.09311,0.76
-3.11132,-5.1423,0.76
-4.22078,-4.82454,0.76
-2.59688,-3.94869,0.76
-3.76104,-5.5023,0.76
-3.67657,-6.11881,0.76
-2.65092,-5.13374,0.75
-3.72166,-6.1096,0.76
-2.40819,-5.07717,0.75
-2.20982,-6.41981,0.72
-3.75442,-5.10125,0.75
-3.7681,-4.23838,0.75
-3.14818,-4.09279,0.76
-3.90752,-5.54813,0.75
-2.83939,-4.53789,0.76
-3.7296,-5.14804,0.76
-3.20224,-4.65444,0.76
-2.85235,-5.00039,0.76
-2.75912,-4.08124,0.76
-3.21771,-6.09008,0.72
-2.55066,-5.61279,0.76
-3.54741,-5.36764,0.75
-4.19613,-7.09925,0.76
-2.67098,-6.50149,0.72
-3.81973,-5.91083,0.75
-2.72765,-4.32965,0.76
-3.93231,-5.30997,0.76
-4.04844,-6.00884,0.76
-3.07218,-4.65007,0.76
-3.40773,-6.13598,0.73
-2.69226,-4.55384,0.76
-2.10676,-4.52215,0.76
-3.07633,-5.81374,0.75
-4.03752,-4.34613,0.76
-3.00642,-5.15294,0.76
-2.98783,-5.39546,0.73
-2.68483,-5.18108,0.76
-2.31435,-3.92474,0.76
-3.66191,-5.28027,0.76
-2.1382,-5.39883,0.75
-3.04727,-5.36088,0.75
-3.99518,-5.01078,0.76
-2.68749,-7.65205,0.71
-3.24586,-4.87865,0.76
-2.84354,-5.26851,0.76
-3.71233,-6.02444,0.76
-3.01578,-6.37343,0.75
-3.37457,-5.17949,0.76
-3.62408,-5.90739,0.76
-2.61641,-5.2073,0.76
-4.03002,-4.67789,0.76
-2.14592,-5.00914,0.76
-3.10629,-5.59022,0.76
-3.81412,-3.81631,0.76
-4.0096,-4.72775,0.75
-3.59876,-6.03887,0.75
-2.60509,-4.81617,0.76
-3.0749,-4.96311,0.76
-1.93514,-4.75815,0.76
-3.22238,-5.08516,0.76
-2.42187,-4.20451,0.76
-2.86588,-4.55398,0.76
-4.0174,-5.35297,0.76
-5.51407,-6.16592,0.73
-3.04058,-5.56736,0.76
-2.85402,-5.42175,0.76
-2.90133,-4.94471,0.75
-3.4287,-4.75393,0.75
-2.42565,-4.91701,0.76
-3.59075,-5.64222,0.75
-3.54126,-4.31272,0.76
-4.24727,-5.81658,0.76
-4.3258,-5.07846,0.76
-2.42476,-4.14612,0.76
-3.64743,-4.17447,0.76
-4.54682,-6.50512,0.75
-3.81257,-5.88136,0.73
-2.87735,-4.7045,0.76
-3.45881,-3.82871,0.76
-3.85006,-5.84333,0.76
-3.20689,-5.6376,0.76
-2.58436,-4.56466,0.76
-3.36592,-4.4251,0.76
-3.04778,-5.53512,0.75
-3.08641,-6.15606,0.76
-3.4665,-4.84198,0.76
-4.22626,-7.21727,0.76
-4.29032,-6.08752,0.76
-2.37621,-4.65564,0.76
-3.09174,-5.38364,0.76
-2.88019,-4.4677,0.76
-2.02895,-5.15367,0.73
-2.88767,-7.0998,0.75
-4.1935,-5.08058,0.76
-2.70799,-5.18374,0.76
-3.55047,-5.95886,0.73
-3.33647,-5.48757,0.75
-3.73541,-5.02505,0.76
-3.99756,-5.86873,0.76
-2.96887,-5.2188,0.75
-5.1391,-6.27665,0.76
-3.11693,-4.58625,0.76
-3.75912,-4.98468,0.76
-3.93551,-5.86151,0.76
-2.95224,-5.46853,0.76
-3.76667,-5.41667,0.76
-2.40218,-5.49323,0.73
-3.92345,-5.85966,0.75
-3.78938,-6.90745,0.73
-2.69808,-5.16586,0.76
-3.44344,-4.76239,0.76
-2.28593,-4.93403,0.76
-4.53921,-5.85054,0.76
-2.23212,-5.01769,0.76
-3.01037,-5.11099,0.76
-2.59325,-4.44855,0.76
-2.85898,-4.17306,0.76
-2.62251,-4.5078,0.76
-3.73202,-5.1681,0.76
-3.11806,-5.41854,0.76
-2.93873,-4.29371,0.76
-3.59194,-5.93832,0.76
-2.97163,-4.51482,0.75
-3.57387,-5.00293,0.75
-2.92166,-4.31787,0.76
-3.72443,-5.59512,0.76
-2.65263,-6.06603,0.73
-3.81875,-4.66039,0.76
-3.17261,-4.565,0.76
-3.70698,-5.02162,0.76
-2.87264,-4.82124,0.73
-3.09302,-4.95902,0.76
-3.34599,-4.85443,0.76
-3.38321,-4.59341,0.76
-3.47605,-6.58892,0.76
-2.18076,-6.31012,0.76
-2.7497,-4.36459,0.76
-3.24682,-4.72031,0.76
-3.23851,-5.57158,0.76
-2.38944,-4.1944,0.76
-2.76824,-6.35467,0.75
-4.10257,-6.02301,0.76
-3.80678,-7.63571,0.73
-3.06284,-5.41157,0.75
-3.59441,-5.00443,0.76
-3.34807,-5.71475,0.75
-2.88207,-5.52033,0.73
-2.93946,-4.86057,0.73
-3.87435,-5.42482,0.75
-3.34013,-4.91228,0.76
-3.14072,-5.20383,0.76
-3.65808,-5.4115,0.73
-3.09783,-5.51779,0.76
-2.82639,-5.28294,0.76
-2.77875,-4.0886,0.76
-2.77673,-4.81416,0.76
-3.11298,-4.88777,0.75
-4.11681,-7.54296,0.73
-3.82636,-5.29514,0.76
-3.41881,-5.33205,0.75
-3.58344,-5.12624,0.76
-3.53201,-4.79191,0.76
-3.58265,-5.33711,0.76
-3.30772,-5.40798,0.76
-4.22305,-7.06164,0.73
-3.03491,-5.62466,0.76
-2.67692,-5.18018,0.75
-3.2238,-5.06243,0.76
-2.09262,-5.5315,0.73
-2.95853,-5.35786,0.75
-3.94673,-4.70834,0.76
-2.44683,-5.17092,0.76
-2.71463,-5.50025,0.75
-2.92431,-4.88983,0.76
-2.58736,-5.90625,0.75
-3.5587,-4.73834,0.76
-3.24461,-5.66182,0.76
-2.47303,-5.4948,0.73
-3.55209,-4.68129,0.76
-1.73578,-6.55166,0.71
-3.67636,-6.22511,0.76
-4.80165,-6.06338,0.76
-3.31015,-4.97202,0.76
-4.36635,-6.52613,0.73
-2.61541,-4.28297,0.76
-3.45645,-5.72962,0.76
-3.77849,-5.05988,0.76
-2.61478,-6.3265,0.76
-4.49002,-6.40061,0.73
-2.22116,-5.46533,0.73
-5.13098,-8.3486,0.73
-3.47154,-5.01598,0.76
-2.29812,-6.03117,0.75
-3.29944,-5.31288,0.76
-2.81102,-5.80554,0.76
-4.31953,-6.2456,0.75
-3.93335,-6.25416,0.76
-3.7769,-6.34501,0.76
-4.04264,-5.34719,0.76
-2.28671,-5.03868,0.73
-3.56008,-5.66804,0.76
-3.39155,-6.21194,0.76
-4.18122,-5.66155,0.76
-3.8542,-5.45699,0.76
-2.24708,-6.56023,0.73
-3.37541,-6.50682,0.73
-3.41385,-6.34244,0.75
-3.44546,-5.09154,0.76
-2.67949,-4.15153,0.76
-3.5637,-4.62682,0.76
-3.14567,-4.318,0.76
-3.36334,-4.19449,0.76
-3.11859,-3.87134,0.76
-3.57713,-6.60499,0.75
-3.80612,-5.79256,0.76
-1.88706,-5.04835,0.76
-3.45471,-5.92657,0.76
-3.35492,-6.03923,0.76
-3.61576,-6.63443,0.76
-3.21615,-4.63694,0.76
-3.36988,-5.60576,0.76
-3.04066,-5.86074,0.76
-4.41265,-4.37572,0.76
-2.97119,-5.19088,0.75
-4.24239,-5.86561,0.76
-3.58619,-5.8443,0.75
-2.26699,-5.68013,0.75
-3.95298,-5.72689,0.75
-3.30647,-5.18354,0.76
-3.63688,-6.55992,0.73
-4.14265,-6.32615,0.75
-3.77933,-4.68857,0.76
-2.78411,-4.41029,0.76
-2.86662,-5.08333,0.75
-2.60637,-5.0908,0.76
-3.92699,-6.1711,0.75
-5.47087,-5.95022,0.76
-4.2541,-4.77259,0.75
-4.25028,-5.25333,0.76
-3.39481,-4.69749,0.76
-3.43567,-4.77432,0.76
-4.28773,-5.22542,0.76
-2.53688,-5.48919,0.76
-2.95017,-4.35332,0.76
-2.87403,-4.56233,0.76
-3.32687,-4.73306,0.76
-3.38315,-4.67536,0.75
-3.54209,-5.5195,0.75
-3.0333,-5.68049,0.73
-4.20613,-4.33946,0.76
-3.65888,-5.34286,0.76
-3.96598,-5.21192,0.76
-2.86199,-4.42902,0.76
-2.63036,-4.96013,0.76
-3.01541,-5.96983,0.73
-3.2567,-5.08711,0.76
-4.40237,-5.25538,0.76
-2.43929,-4.55295,0.75
-3.84926,-6.1059,0.76
-3.88089,-5.28259,0.75
-3.84879,-6.37844,0.73
-4.07914,-5.80849,0.76
-3.3567,-5.8478,0.73
-3.40486,-4.77389,0.76
-3.46743,-5.18316,0.76
-3.01828,-4.64129,0.76
-3.02141,-3.77759,0.76
-2.85992,-4.77997,0.75
-3.01757,-5.8146,0.75
-3.74633,-4.76503,0.76
-3.11023,-5.04625,0.73
-2.92501,-7.03231,0.75
-3.16031,-4.3627,0.76
-3.32019,-5.58565,0.76
-2.44482,-5.10007,0.76
-2.67411,-5.4986,0.76
-3.01563,-4.57909,0.76
-2.97295,-5.31871,0.76
-3.7542,-6.21148,0.73
-3.20368,-5.87596,0.76
-2.78418,-6.36795,0.76
-2.35533,-4.73581,0.75
-3.60139,-5.29204,0.76
-3.79021,-6.11735,0.76
-2.4461,-5.95655,0.75
-2.45174,-4.9754,0.76
-4.28541,-6.00924,0.76
-3.50083,-4.34042,0.76
-4.28067,-5.39887,0.76
-3.73836,-5.76435,0.75
-4.42931,-7.46117,0.73
-4.08004,-5.79203,0.75
-2.70777,-4.26035,0.76
-3.62056,-5.06369,0.76
-2.97196,-4.66004,0.75
-2.53895,-4.62348,0.76
-3.79946,-5.61141,0.76
-3.13507,-5.42325,0.76
-4.00768,-4.53617,0.76
-3.03754,-4.98195,0.76
-3.22358,-4.97059,0.76
-3.82089,-5.39707,0.76
-4.03981,-4.75166,0.76
-3.41628,-4.44646,0.76
-2.04137,-5.76455,0.73
-3.67871,-4.9721,0.76
-1.25646,-5.96884,0.76
-2.74448,-5.67783,0.76
-2.92115,-5.54612,0.73
-3.67228,-7.01829,0.73
-1.70204,-5.20538,0.72
-3.07206,-6.17267,0.76
-3.02816,-4.45308,0.76
-4.25311,-5.09105,0.76
-2.82783,-4.79206,0.76
-6.06796,-7.29532,0.75
-3.16201,-4.11382,0.76
-3.96414,-4.47411,0.76
-2.47949,-5.19925,0.76
-1.16629,-5.82516,0.72
-3.68964,-5.17181,0.76
-4.43527,-5.90641,0.76
-3.32668,-5.12697,0.76
-3.81879,-5.00777,0.75
-3.54858,-5.27468,0.75
-2.58718,-4.70153,0.76
-3.05446,-4.14115,0.76
-2.51421,-4.63735,0.76
-3.59375,-5.44502,0.76
-4.84515,-7.10943,0.73
-3.79977,-6.86003,0.73
-2.48315,-4.64716,0.76
-2.36904,-4.9995,0.76
-3.10592,-5.00947,0.76
-2.3322,-6.26163,0.76
-3.47148,-4.52883,0.76
-3.85062,-5.27914,0.76
-3.03825,-4.09684,0.76
-3.14449,-4.50736,0.76
-4.54383,-7.14798,0.76
-2.54741,-5.69172,0.73
-3.47559,-5.05237,0.76
-1.58135,-5.42321,0.72
-3.66221,-5.57678,0.75
-3.303,-4.82829,0.76
-3.02532,-5.52163,0.76
-3.41688,-4.87087,0.75
-2.5894,-5.07205,0.76
-4.13995,-5.00827,0.76
-3.75692,-7.0432,0.73
-2.59615,-4.05057,0.76
-3.85013,-6.17603,0.76
-3.75507,-4.69376,0.76
-2.82283,-4.56111,0.76
-4.11292,-6.41991,0.76
-2.25947,-4.83389,0.76
-3.37362,-5.70133,0.76
-3.7391,-5.22978,0.75
-2.16097,-5.10245,0.76
-2.45371,-5.29374,0.76
-4.22116,-5.6456,0.76
-2.6862,-5.16733,0.76
-2.13155,-5.64325,0.73
-2.23835,-7.21157,0.72
-3.01731,-6.15978,0.73
-4.70154,-7.16966,0.75
-2.71413,-4.17175,0.76
-3.91311,-6.37989,0.75
-2.41342,-5.05353,0.76
-3.85016,-4.55125,0.76
-3.20386,-4.80844,0.76
-4.61302,-5.53485,0.76
-2.77998,-4.76036,0.76
-3.18157,-5.32947,0.76
-4.4693,-6.23111,0.76
-2.89157,-5.26432,0.75
-3.54117,-5.28318,0.76
-3.11531,-4.72015,0.76
-2.61221,-6.44764,0.72
-2.20855,-4.43474,0.76
-2.62294,-4.4,0.76
-1.86973,-5.282,0.73
-4.17098,-4.66192,0.76
-2.72181,-5.76976,0.73
-2.85302,-4.45612,0.76
-2.7825,-4.49497,0.76
-3.64817,-6.23555,0.75
-3.45445,-5.6184,0.75
-2.85425,-5.5764,0.76
-4.0535,-5.53033,0.76
-3.51618,-5.42236,0.75
-2.89329,-5.17649,0.76
-3.1884,-6.03652,0.75
-2.8185,-4.59661,0.76
-2.52882,-6.29525,0.73
-3.76704,-5.68183,0.73
-3.63642,-5.74336,0.75
-2.41706,-6.22232,0.76
-3.77113,-4.59945,0.76
-3.65808,-8.07877,0.72
-3.58486,-4.72878,0.76
-2.8717,-5.87693,0.73
-3.4331,-5.19102,0.76
-2.57652,-5.22594,0.76
-3.04452,-4.11661,0.76
-3.12417,-4.56674,0.76
-1.68066,-5.10869,0.75
-3.06204,-4.98347,0.76
-2.43264,-4.29337,0.76
-2.60549,-4.54083,0.76
-2.45737,-5.83426,0.75
-2.71741,-5.12759,0.76
-4.22223,-5.52878,0.76
-1.12182,-7.22168,0.72
-4.51991,-5.63917,0.76
-3.18919,-5.47368,0.76
-3.98073,-4.21621,0.76
-3.93753,-4.95827,0.75
-2.78359,-5.76925,0.73
-2.54208,-4.72485,0.76
-3.86511,-6.34828,0.73
-4.54221,-5.74254,0.76
-2.17297,-5.02064,0.73
-2.11163,-6.20171,0.72
-3.55237,-5.33604,0.76
-3.93956,-4.99422,0.76
-3.50141,-5.93483,0.73
-3.14262,-4.44949,0.76
-3.81121,-5.17389,0.75
-3.09397,-4.95488,0.76
-3.63565,-3.6451,0.76
-3.0519,-4.99902,0.76
-4.03584,-5.91363,0.76
-3.66895,-6.90431,0.76
-3.12997,-6.31392,0.72
-2.72069,-6.01531,0.75
-3.1531,-4.64332,0.76
-2.94277,-5.08544,0.73
-2.34975,-5.28324,0.76
-4.68362,-6.4843,0.73
-2.83113,-5.15152,0.75
-3.46705,-4.45404,0.76
-2.45488,-5.41024,0.75
-2.80603,-5.0786,0.76
-3.45309,-4.75966,0.76
-2.52745,-4.8435,0.73
-3.06204,-5.47882,0.75
-4.66039,-5.64387,0.76
-3.31393,-4.93265,0.76
-2.84851,-5.28423,0.76
-2.82888,-5.79959,0.73
-4.80218,-5.80602,0.76
-2.68389,-5.82351,0.76
-3.11286,-3.58322,0.76
-3.27756,-5.14431,0.76
-4.10882,-5.48788,0.75
-2.35907,-4.67776,0.76
-3.64227,-4.94734,0.75
-4.88569,-7.16164,0.75
-1.97229,-4.59351,0.75
-2.67537,-5.37444,0.76
-2.25462,-4.32557,0.76
-3.07582,-4.61045,0.76
-3.84681,-5.1145,0.76
-3.30265,-5.91823,0.76
-3.66954,-4.89301,0.76
-3.11048,-6.15301,0.73
-3.4237,-4.80858,0.76
-3.22876,-5.01277,0.76
-4.23482,-4.90228,0.76
-1.62004,-6.80562,0.72
-2.88216,-4.3732,0.75
-3.36034,-6.1378,0.76
-2.42095,-5.7099,0.76
-4.49175,-6.62154,0.73
-3.26342,-4.23003,0.76
-3.90351,-6.19087,0.76
-3.33927,-5.11889,0.76
-3.67309,-5.65027,0.76
-3.32721,-4.66948,0.76
-3.78616,-5.03887,0.75
-2.54743,-4.85409,0.76
-3.01199,-4.52317,0.76
-3.16629,-5.08617,0.75
-1.37418,-5.77475,0.73
-3.07877,-5.01254,0.75
-3.3878,-6.32126,0.76
-3.39856,-4.12196,0.76
-3.06295,-4.57025,0.76
-2.39249,-5.49091,0.76
-2.85985,-5.08869,0.76
-3.16268,-5.2875,0.73
-3.49437,-4.29033,0.76
-2.55919,-5.16995,0.75
-3.54855,-4.7325,0.76
-4.00612,-5.78733,0.75
-4.36303,-4.95257,0.75
-2.42792,-4.48811,0.76
-3.56846,-5.19896,0.76
-3.03251,-5.37248,0.75
-2.86769,-5.24282,0.76
-3.31642,-5.00836,0.76
-2.88733,-5.14183,0.76
-2.30876,-4.63248,0.76
-2.31751,-4.15925,0.76
-3.5672,-5.4602,0.76
-4.41,-5.75049,0.76
-3.88851,-6.24951,0.76
-2.32391,-5.48269,0.76
-3.47939,-3.79181,0.76
-3.36184,-5.11176,0.76
-1.61482,-5.54914,0.73
-3.88804,-5.0971,0.76
-3.05674,-4.46072,0.76
-3.11169,-4.78078,0.76
-3.98104,-7.43559,0.73
-2.91521,-5.93211,0.75
-3.89563,-5.64864,0.76
-2.65358,-4.96022,0.73
-4.57643,-7.30398,0.73
-3.09241,-4.90527,0.76
-3.66662,-6.07327,0.73
-2.58954,-6.01711,0.76
-1.67835,-5.85638,0.73
-3.23258,-4.5791,0.73
-2.65564,-5.36319,0.76
-2.55462,-5.51003,0.76
-3.44651,-5.91679,0.76
-2.2626,-6.02261,0.73
-3.43104,-6.02099,0.73
-2.49035,-4.79732,0.76
-4.40804,-6.17705,0.76
-3.85476,-5.53662,0.76
-2.7857,-5.15759,0.76
-3.49619,-5.34533,0.76
-3.33237,-5.11766,0.76
-3.60489,-4.79902,0.75
-3.60199,-5.82601,0.75
-3.0129,-4.85083,0.76
-3.74882,-4.72406,0.76
-3.99763,-6.32393,0.75
-3.08905,-4.52717,0.76
-3.00889,-4.86006,0.76
-3.37898,-4.52117,0.76
-3.6089,-4.78806,0.76
-2.40548,-5.01155,0.76
-3.26487,-4.9626,0.76
-2.20153,-5.16609,0.75
-3.40725,-7.15945,0.72
-1.88813,-4.52227,0.76
-3.24297,-5.41111,0.76
-3.92908,-4.72059,0.75
-2.09047,-5.33738,0.76
-3.0657,-5.51609,0.75
-3.26057,-4.75105,0.75
-3.50059,-5.02208,0.76
-2.03523,-4.47929,0.76
-3.01046,-5.39006,0.76
-3.7093,-6.14043,0.76
-3.42941,-5.3023,0.76
-3.37755,-3.96573,0.76
-3.34379,-5.33902,0.76
-2.19631,-5.54359,0.75
-3.12984,-4.40232,0.76
-2.924,-5.24896,0.76
-3.93009,-4.00689,0.76
-3.63524,-4.05782,0.76
-3.52061,-4.8598,0.76
-3.064,-5.17249,0.75
-4.39059,-5.92529,0.73
-4.0808,-4.32862,0.75
-2.54142,-5.01154,0.76
-3.41228,-4.58374,0.76
-2.65583,-4.84372,0.76
-3.02618,-5.0036,0.75
-2.70427,-5.08377,0.76
-4.26957,-5.55792,0.76
-1.91131,-5.64561,0.72
-2.55699,-4.95237,0.76
-3.98262,-5.0723,0.76
-3.11663,-3.78598,0.76
-4.96998,-6.57329,0.75
-4.02474,-5.86673,0.76
-3.71262,-6.0429,0.73
-2.61269,-5.42621,0.76
-3.08056,-5.25193,0.75
-2.80417,-6.1747,0.73
-3.65744,-5.72772,0.76
-3.75187,-4.81958,0.76
-4.38267,-4.75461,0.76
-3.99949,-5.74452,0.76
-2.73873,-5.45469,0.73
-3.7994,-5.93766,0.76
-2.50986,-5.38862,0.73
-3.58314,-5.19087,0.76
-2.89166,-4.65619,0.76
-3.6189,-4.35738,0.76
-4.08602,-6.17064,0.75
-3.19278,-5.21502,0.75
-2.84564,-5.16905,0.75
-3.30421,-5.81413,0.75
-3.52624,-5.06276,0.76
-4.07194,-5.68998,0.76
-3.16863,-4.60935,0.76
-4.65602,-6.75528,0.73
-2.69934,-5.37764,0.75
-3.45452,-5.99947,0.76
-2.94683,-4.70333,0.75
-4.56462,-8.2251,0.73
-3.93117,-5.50665,0.76
-3.52839,-5.30096,0.75
-2.60784,-5.2583,0.76
-1.51976,-6.04531,0.76
-1.50295,-5.30458,0.76
-2.92677,-4.55109,0.76
-2.16802,-4.79415,0.76
-2.52769,-5.14345,0.75
-2.6367,-5.76929,0.73
-3.68378,-5.82386,0.76
-2.72407,-4.42946,0.76
-2.20373,-5.57514,0.73
-3.56702,-4.6044,0.76
-3.69091,-5.36383,0.76
-2.75371,-4.72397,0.76
-3.88657,-6.21168,0.76
-3.83219,-4.82986,0.76
-3.38472,-5.5083,0.73
-2.93129,-4.59442,0.75
-2.90342,-5.09384,0.75
-3.80442,-5.58509,0.76
-3.07002,-4.71715,0.75
-3.79515,-5.30985,0.75
-3.08957,-5.87248,0.73
-2.17847,-5.67959,0.75
-2.96638,-3.65486,0.76
-2.93637,-5.25166,0.75
-3.1191,-6.48667,0.76
-3.28455,-6.01781,0.75
-3.45171,-5.60284,0.76
-3.35272,-4.1051,0.76
-3.92494,-4.50671,0.76
-3.40067,-5.22605,0.76
-4.17609,-5.48546,0.76
-3.81986,-5.52314,0.76
-3.2207,-4.97758,0.76
-3.78378,-5.9968,0.75
-3.79589,-5.03611,0.76
-3.59996,-5.52653,0.75
-3.02719,-4.86744,0.76
-3.9128,-6.65101,0.76
-2.80313,-5.17162,0.73
-3.5605,-6.28368,0.76
-3.67101,-5.607,0.75
-3.28147,-4.90019,0.75
-2.96169,-5.26765,0.75
-3.08987,-6.70071,0.73
-3.82565,-5.05416,0.76
-2.85664,-5.41504,0.76
-2.89968,-5.72889,0.75
-2.13343,-5.27476,0.76
-2.70554,-5.66004,0.73
-4.33888,-6.53098,0.75
-3.46953,-5.33555,0.73
-2.94435,-4.83602,0.76
-2.79192,-4.72885,0.76
-3.03029,-4.42879,0.76
-2.19361,-6.30411,0.73
-2.80442,-4.3949,0.76
-2.56397,-4.68883,0.76
-3.46863,-4.96644,0.76
-3.22724,-4.26481,0.75
-3.44677,-6.09339,0.76
-3.10689,-4.89709,0.76
-3.12,-5.39928,0.75
-3.07578,-4.95793,0.76
-3.21429,-4.93894,0.76
-2.76665,-5.67082,0.76
-2.74472,-4.91788,0.76
-3.23428,-4.42853,0.76
-3.7174,-4.25515,0.76
-3.70173,-5.49864,0.76
-1.74891,-5.86526,0.76
-4.32056,-5.95468,0.73
-4.47928,-6.10557,0.75
-3.69779,-5.36021,0.75
-3.80808,-6.33113,0.76
-3.32911,-6.23077,0.73
-4.14168,-5.35041,0.76
-3.07389,-4.12138,0.76
-3.00581,-5.94478,0.75
-3.54628,-5.31297,0.76
-2.72989,-5.22036,0.76
-3.75767,-7.19423,0.73
-3.50674,-5.55083,0.76
-2.48144,-4.93945,0.76
-3.15188,-5.03393,0.76
-2.97205,-3.89031,0.76
-3.97734,-4.93186,0.76
-3.0885,-4.75687,0.76
-2.85903,-5.78527,0.73
-3.92538,-5.96616,0.76
-4.13859,-5.54127,0.75
-3.06185,-6.13013,0.73
-3.17875,-4.99944,0.75
-4.34766,-6.05715,0.76
-2.80835,-4.5774,0.76
-3.10907,-5.25788,0.76
-3.30628,-3.87839,0.76
-3.13242,-5.05537,0.76
-3.59989,-5.6345,0.76
-3.19886,-4.93003,0.75
-2.78503,-5.25668,0.76
-2.54023,-4.85554,0.76
-2.56511,-5.37521,0.76
-3.00843,-4.90499,0.76
-3.92341,-5.41866,0.75
-3.39172,-4.68494,0.76
-3.53629,-7.01549,0.76
-3.45609,-5.43378,0.75
-2.97326,-6.02281,0.75
-3.24767,-6.36502,0.73
-3.0181,-5.89552,0.75
-3.34399,-4.56663,0.76
-5.28229,-7.07364,0.75
-4.09737,-4.29554,0.76
-3.94504,-5.15488,0.76
-2.01635,-5.35278,0.75
-3.49907,-5.01367,0.76
-2.90235,-6.28531,0.75
-2.4618,-5.44129,0.75
-2.0835,-4.93904,0.73
-3.99119,-5.75394,0.76
-3.44704,-4.20432,0.76
-4.13395,-4.94211,0.73
-3.36423,-5.38434,0.76
-3.03863,-4.77476,0.76
-3.29639,-4.42066,0.76
-4.04777,-5.23576,0.76
-4.54412,-4.64365,0.76
-3.46928,-5.12237,0.76
-2.91872,-5.2471,0.75
-3.50788,-5.76601,0.76
-3.44229,-5.72946,0.73
-2.64427,-5.47214,0.73
-3.49519,-5.53691,0.76
-3.44031,-4.91682,0.76
-2.3904,-5.74416,0.76
-3.74807,-5.07938,0.76
-4.58215,-6.47092,0.75
-4.41848,-5.84965,0.75
-3.76272,-5.642,0.76
-2.87577,-4.24728,0.76
-3.46175,-5.36673,0.76
-2.82384,-4.21883,0.76
-3.09712,-5.01864,0.76
-3.95901,-5.90146,0.76
-3.45743,-5.54713,0.76
-2.00651,-5.08485,0.75
-2.91282,-5.10687,0.75
-2.84346,-4.7511,0.76
-0.754063,-5.12592,0.72
-3.10985,-5.42745,0.76
-3.74292,-6.25989,0.73
-3.72444,-5.617,0.75
-3.66119,-5.26235,0.76
-3.04108,-5.05686,0.76
-3.41072,-6.24509,0.75
-3.62203,-4.89838,0.76
-3.99628,-4.7159,0.76
-2.63652,-5.97932,0.76
-3.94856,-5.57322,0.76
-4.04867,-4.80255,0.76
-3.32529,-4.57579,0.76
-3.98499,-5.90063,0.73
-3.06638,-4.90552,0.76
-3.62034,-5.3758,0.76
-3.87946,-5.02585,0.76
-2.90207,-4.35744,0.76
-2.75474,-4.91849,0.76
-3.15917,-5.39969,0.76
-3.81475,-3.9193,0.76
-4.53996,-6.04531,0.75
-4.69656,-6.63336,0.73
-3.79341,-4.67304,0.76
-3.95963,-5.07636,0.76
-3.32364,-4.98422,0.76
-4.2073,-5.75036,0.75
-4.54994,-5.73611,0.76
-4.90341,-4.14481,0.76
-4.76151,-6.13811,0.76
-4.79225,-5.9467,0.75
-2.08855,-5.62067,0.75
-2.6732,-5.12053,0.76
-3.45366,-7.09128,0.73
-2.82009,-5.31808,0.75
-3.98637,-4.69284,0.76
-3.73689,-5.80302,0.76
-3.37819,-5.36427,0.76
-3.45955,-4.06827,0.76
-4.0479,-5.85013,0.76
-3.72401,-5.27578,0.76
-2.96979,-4.95806,0.76
-2.99263,-5.819,0.76
-3.83863,-5.50549,0.76
-4.33242,-5.3223,0.76
-2.74445,-5.08732,0.73
-2.76977,-4.76885,0.76
-4.22427,-7.44828,0.73
-3.6912,-4.644,0.76
-3.72337,-4.51307,0.76
-3.74339,-5.50519,0.76
-2.98116,-5.33306,0.76
-3.23412,-4.96383,0.75
-3.95116,-5.77814,0.76
-2.81104,-4.67909,0.76
-3.97982,-5.18742,0.76
-2.5559,-5.36734,0.76
-3.09501,-5.13747,0.75
-5.14113,-6.88411,0.73
-2.09902,-4.59611,0.76
-3.74959,-4.49511,0.76
-2.89426,-4.7999,0.76
-2.36304,-4.41319,0.76
