b_rCCI,b_QYBL,threshold
-2.76399,-5.26938,0.73
-2.71921,-4.48182,0.75
-2.24858,-5.65597,0.73
-2.8237,-5.7356,0.76
-3.38033,-5.88687,0.75
-3.09565,-4.61835,0.76
-2.50611,-5.94993,0.75
-3.00533,-3.71048,0.76
-2.51705,-5.14147,0.76
-3.06634,-5.26404,0.73
-4.26348,-5.90851,0.76
-2.78636,-5.3621,0.76
-3.65129,-6.05137,0.75
-2.10973,-5.37817,0.76
-4.15173,-5.29979,0.75
-4.05339,-5.61216,0.76
-3.26598,-5.06298,0.75
-2.76599,-4.66663,0.76
-4.09001,-5.18475,0.76
-2.88203,-5.60847,0.73
-2.96808,-5.36053,0.76
-3.79767,-6.4796,0.73
-3.54214,-5.23603,0.76
-3.18949,-5.21099,0.76
-2.8109,-6.15035,0.76
-2.77212,-5.94458,0.76
-3.79999,-5.10611,0.75
-3.4552,-4.77482,0.75
-5.08726,-4.59015,0.76
-2.35806,-6.54466,0.72
-3.22343,-6.65759,0.73
-2.61074,-5.40754,0.75
-4.01904,-4.90602,0.75
-2.77677,-6.37961,0.75
-3.88957,-5.37127,0.73
-3.46955,-5.5725,0.73
-3.45096,-6.30533,0.73
-3.13673,-4.80751,0.76
-2.71692,-4.86781,0.76
-4.48907,-5.40944,0.76
-3.55211,-5.13194,0.75
-2.96859,-5.65241,0.73
-1.92576,-4.59701,0.76
-3.42628,-4.86361,0.76
-4.36195,-6.23569,0.73
-3.51361,-5.23185,0.75
-3.6004,-6.75638,0.71
-3.58264,-4.85956,0.76
-4.20324,-6.07479,0.76
-2.98918,-5.61912,0.76
-3.20604,-6.01549,0.73
-3.32088,-5.87945,0.76
-3.59969,-5.79889,0.76
-2.3796,-5.29026,0.73
-5.08111,-7.03911,0.76
-3.29152,-4.539,0.76
-4.253,-6.28657,0.75
-4.07843,-4.71467,0.76
-2.83405,-5.07454,0.76
-2.36849,-4.47726,0.75
-4.43179,-6.108,0.76
-2.12019,-5.28815,0.76
-3.12639,-4.10409,0.76
-3.27711,-5.66209,0.76
-3.02595,-4.84839,0.75
-3.43642,-5.11188,0.76
-3.05041,-4.5435,0.76
-2.42234,-4.48753,0.76
-4.09093,-4.38838,0.76
-3.20032,-3.70566,0.76
-3.65439,-4.8384,0.76
-2.99576,-4.80739,0.76
-3.23724,-4.97187,0.76
-3.63043,-4.68206,0.76
-2.3991,-4.64114,0.76
-3.02362,-5.68327,0.75
-3.27654,-4.74962,0.76
-5.6201,-7.71453,0.73
-2.55912,-5.08596,0.73
-2.32299,-6.13135,0.73
-4.13323,-5.22782,0.76
-3.19621,-5.4994,0.76
-2.34673,-5.34754,0.73
-2.63663,-4.549,0.76
-4.11292,-5.92449,0.76
-3.24002,-5.01821,0.76
-4.90177,-6.22471,0.76
-3.33343,-5.87028,0.75
-3.86583,-5.64243,0.76
-4.36768,-6.42139,0.75
-3.72906,-6.13217,0.75
-4.56801,-5.64769,0.73
-3.22905,-4.51701,0.76
-3.33327,-4.71801,0.76
-2.99679,-5.9893,0.76
-3.5632,-4.34118,0.75
-3.56527,-4.1052,0.76
-3.37091,-4.05246,0.76
-4.39974,-7.31077,0.73
-3.69959,-5.09829,0.76
-2.57493,-5.30818,0.76
-3.77231,-5.22062,0.76
-3.26386,-5.35507,0.75
-2.55065,-5.34998,0.75
-4.3073,-5.10588,0.76
-2.7891,-5.5366,0.75
-2.50963,-6.20919,0.73
-2.30335,-4.36579,0.76
-5.00885,-7.02043,0.73
-3.77842,-5.38243,0.76
-3.07861,-4.87216,0.76
-3.57148,-6.02797,0.73
-4.54769,-5.49044,0.76
-2.74103,-5.41463,0.76
-2.75369,-5.16354,0.76
-2.55786,-4.92096,0.76
-2.22849,-5.14247,0.76
-3.81882,-5.62442,0.76
-3.22705,-4.7599,0.75
-3.41034,-3.67711,0.76
-3.03051,-4.22193,0.76
-2.57869,-4.74137,0.76
-3.44395,-6.09019,0.76
-3.83573,-5.71349,0.75
-3.55432,-4.60283,0.76
-3.44594,-4.79602,0.76
-4.37112,-5.42155,0.76
-3.44799,-5.02787,0.75
-2.16373,-6.05078,0.76
-4.00405,-4.85848,0.76
-4.06823,-4.07974,0.76
-2.98704,-4.31158,0.76
-2.71266,-5.22945,0.76
-2.69843,-4.85912,0.76
-2.91441,-4.45571,0.76
-3.24169,-5.68962,0.76
-2.93369,-5.02811,0.76
-3.36396,-4.36478,0.76
-2.90695,-4.3498,0.76
-3.52559,-4.36823,0.76
-3.53455,-5.80971,0.75
-3.32325,-5.01362,0.76
-2.96574,-3.79133,0.76
-2.40525,-7.85724,0.71
-3.81372,-4.62974,0.75
-3.69576,-3.65192,0.76
-3.82803,-6.10812,0.75
-3.38812,-5.55645,0.76
-3.78464,-5.30538,0.75
-3.17632,-5.3458,0.76
-2.34148,-5.66633,0.76
-3.82316,-4.71228,0.76
-2.8947,-6.08934,0.75
-2.53011,-5.74543,0.73
-3.54149,-4.0172,0.76
-4.4984,-5.67144,0.76
-4.07295,-5.32773,0.76
-2.59042,-4.77621,0.76
-3.15769,-4.64409,0.75
-2.95731,-4.6691,0.75
-2.72649,-4.69979,0.75
-2.75745,-5.26333,0.73
-4.40047,-5.97136,0.75
-3.91198,-5.30947,0.76
-3.57157,-5.709,0.76
-4.95478,-5.48655,0.75
-3.07578,-5.02127,0.76
-4.1505,-5.64881,0.76
-4.57816,-7.30107,0.75
-3.54789,-5.01182,0.76
-3.64204,-4.56691,0.76
-4.15394,-7.005,0.75
-2.66841,-6.09443,0.76
-3.06597,-4.18495,0.76
-3.04411,-5.23284,0.76
-3.96918,-5.66021,0.76
-3.77438,-5.92448,0.75
-3.45887,-5.02441,0.76
-5.64453,-6.29666,0.76
-3.81367,-5.60662,0.75
-2.62734,-5.52613,0.75
-3.70549,-4.93393,0.76
-3.48146,-5.08454,0.76
-2.49549,-5.63098,0.76
-5.3888,-6.40424,0.76
-3.64777,-4.8825,0.76
-3.24201,-6.49075,0.76
-4.18838,-5.39887,0.73
-2.71056,-4.34943,0.76
-5.22246,-6.7377,0.76
-3.17752,-5.43131,0.76
-4.39038,-6.27274,0.76
-3.79348,-5.0871,0.76
-4.72643,-6.36513,0.76
-2.29663,-4.12915,0.76
-2.83736,-4.31946,0.76
-3.01933,-5.48479,0.76
-2.87226,-4.3874,0.76
-2.78214,-4.76644,0.76
-4.15094,-3.95331,0.76
-3.17276,-5.37729,0.76
-3.6036,-4.60617,0.75
-2.53276,-4.69678,0.76
-2.38356,-4.6574,0.76
-2.67108,-5.51662,0.76
-4.28421,-4.51008,0.75
-2.5436,-5.51346,0.76
-2.67063,-4.75653,0.76
-3.16595,-5.1842,0.76
-3.30075,-5.38252,0.76
-3.92017,-6.18012,0.75
-2.38547,-4.28646,0.75
-3.82352,-4.71032,0.76
-2.92562,-5.2178,0.75
-2.59216,-5.76635,0.76
-3.3951,-6.11221,0.76
-2.82513,-5.08796,0.76
-3.42884,-5.48373,0.76
-2.26393,-5.14171,0.76
-3.47986,-5.9883,0.75
-2.99596,-4.71551,0.76
-4.92856,-6.85074,0.76
-2.86947,-4.90986,0.76
-2.56872,-4.4532,0.76
-2.52198,-5.75776,0.76
-3.53281,-5.30646,0.76
-3.81331,-3.95503,0.76
-2.81105,-4.49982,0.76
-3.53824,-4.48928,0.75
-3.40597,-5.09363,0.76
-2.80772,-5.19261,0.76
-3.83076,-7.08159,0.73
-2.97993,-4.90907,0.76
-4.36666,-5.11702,0.76
-3.35936,-4.68397,0.75
-4.00992,-5.68283,0.76
-3.32783,-5.53408,0.73
-2.94505,-5.71484,0.76
-3.39841,-6.35987,0.75
-4.40179,-6.49948,0.73
-4.46752,-5.54564,0.76
-3.44901,-5.6176,0.76
-4.19056,-5.72755,0.76
-2.19186,-4.90497,0.76
-4.51579,-4.54593,0.76
-3.90208,-5.0593,0.76
-2.78735,-5.17022,0.76
-3.03191,-5.00136,0.76
-2.9982,-4.03867,0.76
-3.46607,-5.29986,0.76
-3.53584,-5.56135,0.73
-3.11993,-5.66402,0.75
-3.27582,-5.63347,0.76
-3.32734,-4.34696,0.76
-3.96388,-6.60646,0.76
-4.65521,-4.40643,0.76
-3.7179,-5.38738,0.76
-3.9727,-5.39661,0.76
-2.73231,-6.11978,0.73
-3.21298,-5.23636,0.73
-3.29603,-4.50451,0.76
-2.66028,-5.31901,0.75
-3.12657,-4.95395,0.76
-2.75511,-5.71877,0.75
-3.4123,-4.9212,0.76
-2.74371,-4.52982,0.76
-2.76742,-4.95802,0.76
-3.5383,-5.74231,0.76
-1.81958,-5.67729,0.73
-3.10803,-5.09149,0.76
-4.73412,-5.94824,0.76
-3.7195,-6.05238,0.75
-1.91967,-6.0122,0.73
-3.23517,-4.91018,0.76
-4.61689,-5.90142,0.75
-2.80649,-5.45285,0.75
-3.48156,-5.69406,0.76
-3.20654,-5.45601,0.76
-2.02897,-6.01208,0.72
-2.92016,-5.43368,0.76
-2.56898,-4.90484,0.75
-3.82619,-5.50208,0.75
-3.50798,-4.33219,0.76
-4.30372,-5.94533,0.76
-3.25755,-4.84507,0.76
-3.89252,-5.46365,0.75
-2.96715,-4.80806,0.75
-4.01413,-5.95075,0.75
-4.5147,-5.1906,0.76
-2.79128,-5.72452,0.75
-3.15098,-5.12391,0.76
-3.08248,-4.38854,0.76
-2.14465,-5.02878,0.75
-3.64345,-4.88525,0.76
-3.3482,-4.54648,0.76
-3.84301,-5.12831,0.76
-3.32821,-5.49114,0.76
-4.01881,-5.31816,0.76
-2.53081,-4.07497,0.76
-2.292,-4.90917,0.76
-3.42598,-4.24109,0.76
-2.93444,-4.62657,0.76
-4.48327,-5.91813,0.76
-3.34945,-4.69121,0.76
-3.29965,-4.57904,0.76
-2.40143,-4.51722,0.75
-3.83842,-5.3744,0.73
-2.63938,-5.66755,0.75
-3.45126,-4.89399,0.75
-3.54757,-4.48577,0.75
-2.94252,-4.98356,0.76
-3.60693,-5.00522,0.76
-4.11859,-5.68164,0.75
-3.22544,-4.80532,0.76
-2.81891,-4.6119,0.75
-2.44835,-6.3849,0.73
-3.10553,-5.78685,0.76
-3.36544,-5.1381,0.75
-2.572,-6.4007,0.73
-2.85085,-5.03038,0.76
-3.03525,-5.08247,0.76
-2.45683,-4.178,0.76
-2.25179,-5.12901,0.76
-3.57015,-5.13097,0.76
-3.80051,-5.58995,0.76
-2.38244,-4.90904,0.75
-2.67959,-5.06182,0.76
-3.6489,-5.1319,0.76
-2.83116,-4.20457,0.76
-3.36406,-4.72372,0.76
-3.20486,-5.59814,0.76
-3.9173,-4.77706,0.76
-3.56573,-5.05758,0.76
-3.27855,-4.57222,0.76
-4.0665,-4.86056,0.76
-3.80185,-5.90713,0.76
-4.31114,-6.07348,0.73
-3.09131,-4.17033,0.76
-2.38298,-4.37968,0.76
-3.07816,-6.17393,0.76
-3.23931,-4.97605,0.75
-3.51651,-5.97289,0.76
-3.67631,-6.20256,0.73
-3.87449,-5.71896,0.76
-3.51039,-4.94014,0.76
-3.86456,-4.59085,0.76
-3.92384,-5.98226,0.73
-2.66222,-5.36428,0.75
-3.01821,-4.8091,0.76
-4.08616,-5.61361,0.76
-2.93148,-4.75676,0.73
-3.06364,-5.11042,0.76
-3.26681,-5.06844,0.76
-2.50917,-3.92372,0.76
-1.85065,-7.34221,0.73
-3.43217,-5.44251,0.76
-3.88957,-5.16924,0.76
-3.54642,-5.44613,0.75
-3.55645,-4.37413,0.76
-4.17182,-4.70201,0.76
-2.52836,-5.55143,0.76
