genotype_code	genotype_name	treatment	timepoint	trait_group	supp_table_printed	docx_table	trait	value	se	tukey_letters
3	IR77298-14-1-2-10	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	1.02	0.65	b
3	IR77298-14-1-2-10	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	0.88	0.03	bc
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_TL	23.06	9.96	abc
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_TL	0.06	0.00	a
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_TL	289.13	17.59	ab
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_TL	11.61	5.35	cd
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_BL	17.40	3.00	b
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_BL	0.05	0.00	ab
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_BL	294.09	40.93	ab
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_BL	10.25	1.40	cd
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_TL	257.60	84.67	d
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_BL	235.47	45.39	d
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_TL	0.84	0.24	abcd
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_BL	0.84	0.20	abc
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	rCCI	0.92	0.17	bcd
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	rQY	1.00	0.26	ab
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	dCCI	22.13	38.32	bcd
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	dQY	0.00	0.01	ab
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	rPhoto	0.76	0.07	bc
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	rCond	0.84	0.28	a
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	1.02	0.29	b
4	PUSA1121	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	0.88	0.09	bc
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_TL	25.41	5.77	a
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_TL	0.06	0.01	ab
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_TL	256.15	16.88	abcde
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_TL	13.05	2.80	c
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_BL	21.43	3.86	ab
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_BL	0.06	0.00	a
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_BL	273.39	33.75	abc
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_BL	12.10	1.45	bc
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_TL	313.63	46.77	c
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_BL	309.73	29.75	c
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_TL	0.84	0.11	abcd
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_BL	0.83	0.10	abcd
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	rCCI	0.99	0.09	ab
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	rQY	1.00	0.13	ab
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	dCCI	3.90	17.23	cd
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	dQY	0.00	0.01	ab
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	rPhoto	0.85	0.10	abc
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	rCond	1.04	0.22	a
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	1.07	0.43	b
5	BAM8315	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	0.93	0.08	bc
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_TL	20.25	6.38	bc
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_TL	0.05	0.01	ab
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_TL	266.13	17.12	abcd
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_TL	10.59	3.43	cd
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_BL	16.50	1.75	b
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_BL	0.04	0.00	ab
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_BL	263.10	27.74	abcd
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_BL	10.53	0.25	cd
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_TL	206.73	52.44	e
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_BL	212.10	29.70	d
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_TL	0.83	0.14	bcd
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_BL	0.82	0.12	cd
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	rCCI	1.03	0.10	a
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	rQY	0.99	0.15	b
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	dCCI	-5.37	22.78	d
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	dQY	0.01	0.01	a
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	rPhoto	0.85	0.05	abc
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	rCond	1.03	0.06	a
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	1.00	0.18	b
6	BAM812	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	1.02	0.03	abc
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_TL	20.35	2.27	bc
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_TL	0.03	0.00	b
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_TL	227.22	0.36	abcdef
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_TL	9.08	1.33	de
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_BL	17.37	1.06	b
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_BL	0.03	0.00	b
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_BL	243.57	6.60	abcde
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_BL	9.90	0.68	cd
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_TL	252.10	20.44	d
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_BL	227.50	9.05	d
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_TL	0.84	0.07	abcd
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_BL	0.83	0.06	abcd
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	rCCI	0.90	0.05	bcd
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	rQY	0.99	0.07	b
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	dCCI	24.60	10.93	bcd
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	dQY	0.01	0.00	a
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	rPhoto	0.86	0.03	abc
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	rCond	1.25	0.11	a
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	1.07	0.13	b
7	Malchi	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	1.11	0.03	abc
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_TL	23.58	2.22	abc
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_TL	0.04	0.00	ab
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_TL	218.38	9.61	bcdef
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_TL	12.30	1.08	cd
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_BL	19.82	1.46	b
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_BL	0.04	0.00	ab
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_BL	226.98	14.26	cde
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_BL	12.47	0.61	bc
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_TL	153.10	17.08	f
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_BL	153.57	11.94	e
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_TL	0.84	0.04	abcd
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_BL	0.84	0.03	abcd
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	rCCI	1.00	0.03	ab
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	rQY	1.00	0.04	ab
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	dCCI	-0.47	5.93	d
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	dQY	0.00	0.01	ab
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	rPhoto	0.84	0.04	abc
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	rCond	1.08	0.08	a
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	1.04	0.16	b
8	BAM 3690	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	1.02	0.03	abc
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_TL	23.65	2.39	abc
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_TL	0.05	0.00	ab
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_TL	198.14	8.40	cdef
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_TL	16.65	1.29	b
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_BL	17.58	0.35	b
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_BL	0.04	0.00	b
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_BL	218.08	10.70	cde
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_BL	14.07	0.23	abc
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_TL	225.43	19.52	e
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_BL	220.60	11.18	d
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_TL	0.85	0.05	ab
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_BL	0.84	0.04	ab
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	rCCI	0.98	0.04	ab
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	rQY	0.99	0.06	ab
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	dCCI	4.83	8.65	cd
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	dQY	0.01	0.01	ab
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	rPhoto	0.76	0.01	bc
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	rCond	1.17	0.03	a
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	1.14	0.03	b
9	BAM 4138	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	0.88	0.00	abc
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_TL	21.09	0.09	abc
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_TL	0.05	0.00	ab
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_TL	197.32	5.03	cdef
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_TL	16.55	0.13	b
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_BL	18.44	0.56	b
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_BL	0.03	0.00	ab
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_BL	186.85	3.83	ef
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_BL	12.99	0.24	bc
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_TL	325.57	1.74	c
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_BL	315.90	1.50	c
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_TL	0.82	0.02	d
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_BL	0.83	0.01	abcd
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	rCCI	0.97	0.01	abc
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	rQY	1.01	0.02	ab
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	dCCI	9.67	2.51	bcd
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	dQY	-0.01	0.00	ab
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	rPhoto	0.87	0.01	abc
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	rCond	0.74	0.04	a
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	1.00	0.07	b
10	BAM 4521	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	0.78	0.02	abc
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_TL	24.45	1.28	ab
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_TL	0.06	0.00	ab
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_TL	199.86	2.37	cdef
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_TL	19.08	0.62	ab
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_BL	19.29	0.59	b
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_BL	0.04	0.00	ab
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_BL	199.70	5.30	def
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_BL	15.24	0.21	ab
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_TL	309.30	9.64	c
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_BL	232.27	5.82	d
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_TL	0.83	0.02	bcd
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_BL	0.85	0.02	a
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	rCCI	0.75	0.02	e
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	rQY	1.02	0.02	a
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	dCCI	77.03	3.08	a
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	dQY	-0.02	0.00	b
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	rPhoto	0.79	0.02	abc
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	rCond	0.68	0.03	a
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	0.99	0.07	b
11	Black gora	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	0.79	0.01	abc
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_TL	21.66	1.15	abc
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_TL	0.05	0.00	ab
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_TL	166.92	3.02	f
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_TL	17.66	0.58	ab
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_BL	15.83	0.13	b
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_BL	0.05	0.00	ab
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_BL	236.63	3.62	bcde
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_BL	13.71	0.01	abc
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_TL	254.07	8.91	d
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_BL	231.47	4.85	d
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_TL	0.85	0.02	a
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_BL	0.84	0.02	abc
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	rCCI	0.91	0.02	bcd
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	rQY	0.99	0.02	b
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	dCCI	22.60	3.40	bcd
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	dQY	0.01	0.00	a
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	rPhoto	0.73	0.00	bc
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	rCond	1.22	0.01	a
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	2.23	0.02	b
12	Suweon	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	0.78	0.01	ab
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_TL	23.71	0.66	abc
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_TL	0.05	0.00	ab
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_TL	179.86	1.38	ef
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_TL	20.46	0.27	a
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_BL	18.91	0.26	b
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_BL	0.03	0.00	b
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_BL	138.46	0.92	f
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_BL	16.39	0.12	ab
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_TL	410.47	4.36	b
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_BL	369.10	2.27	b
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_TL	0.84	0.00	abcd
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_BL	0.82	0.00	bcd
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	rCCI	0.90	0.00	bcd
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	rQY	0.99	0.00	b
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	dCCI	41.37	0.45	b
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	dQY	0.01	0.00	a
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	rPhoto	0.79	0.01	abc
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	rCond	0.75	0.02	a
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	0.86	0.03	ab
13	Kunjukunju	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	0.80	0.00	ab
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_TL	23.34	0.33	abc
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_TL	0.05	0.00	ab
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_TL	176.09	0.82	ef
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_TL	18.62	0.19	ab
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_BL	21.11	0.24	ab
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_BL	0.03	0.00	b
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_BL	147.89	2.21	f
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_BL	17.43	0.10	a
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_TL	439.60	2.86	a
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_BL	417.93	1.84	a
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_TL	0.85	0.01	ab
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_BL	0.84	0.01	abcd
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	rCCI	0.95	0.01	abc
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	rQY	0.99	0.01	b
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	dCCI	21.67	1.62	bcd
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	dQY	0.01	0.00	a
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	rPhoto	0.91	0.01	abc
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	rCond	0.83	0.01	a
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	1.03	0.03	ab
14	Cauvery	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	0.94	0.01	a
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_TL	23.19	0.41	abc
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_TL	0.05	0.00	ab
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_TL	189.33	1.14	def
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_TL	19.25	0.21	ab
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	Photo_BL	16.21	0.07	b
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	Cond_BL	0.05	0.00	ab
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	Ci_BL	225.10	1.35	cde
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	Tr_BL	14.17	0.06	abc
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_TL	272.37	3.15	d
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	CCI_BL	235.90	1.63	d
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_TL	0.83	0.01	cd
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	QY_BL	0.82	0.01	d
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	rCCI	0.87	0.01	cd
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	rQY	0.99	0.01	b
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	dCCI	36.47	1.48	bc
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	dQY	0.01	0.00	a
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	rPhoto	0.68	0.00	c
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	rCond	1.17	0.00	a
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	rCi	1.56	0.00	a
15	RPW9-4(SS1)	Control	30 DAT	physiological	Supp 9	docx_table_11	rTr	0.72	0.00	a
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	PH	48.77	0.02	def
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	TN	5.00	0.03	bc
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	LN	10.67	0.01	b
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	TLL	32.50	0.08	def
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	TLW	0.93	0.00	a
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	BLL	24.23	0.07	cd
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	BLW	0.63	0.00	ab
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	rLL	0.73	0.00	bc
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	rLW	0.70	0.00	abc
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	SFW	4.35	0.00	cd
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	SDW	1.43	0.01	cde
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	RFW	7.40	0.00	bc
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	RDW	2.40	0.00	bc
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	RL	650.19	1.15	a
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	PA	74.91	0.10	a
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	SA	235.34	0.31	a
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	AD	1.13	0.00	ab
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	LPV	650.19	1.15	a
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	RV	6.86	0.01	ab
1	Moroberakan	N stress	30 DAT	morphological	Supp 10	docx_table_12	TPS	2427.33	2.74	a
2	IR83388-B-B108-3	N stress	30 DAT	morphological	Supp 10	docx_table_12	PH	43.07	0.19	fg
2	IR83388-B-B108-3	N stress	30 DAT	morphological	Supp 10	docx_table_12	TN	7.33	0.02	a
2	IR83388-B-B108-3	N stress	30 DAT	morphological	Supp 10	docx_table_12	LN	19.67	0.06	a
2	IR83388-B-B108-3	N stress	30 DAT	morphological	Supp 10	docx_table_12	TLL	28.03	0.09	efg
2	IR83388-B-B108-3	N stress	30 DAT	morphological	Supp 10	docx_table_12	TLW	0.73	0.00	cde
2	IR83388-B-B108-3	N stress	30 DAT	morphological	Supp 10	docx_table_12	BLL	21.80	0.10	d
2	IR83388-B-B108-3	N stress	30 DAT	morphological	Supp 10	docx_table_12	BLW	0.53	0.00	bc
2	IR83388-B-B108-3	N stress	30 DAT	morphological	Supp 10	docx_table_12	rLL	0.76	0.00	bc
2	IR83388-B-B108-3	N stress	30 DAT	morphological	Supp 10	docx_table_12	rLW	0.71	0.00	abc
